cue_id,domain,cue_family,pattern,example_phrase,source_bucket,source_ref,rationale,weight,review_status,include
CUE_035,claim-risk,authority_evoking,\btrusted by professionals\b,trusted by professionals,cialdini_principle,Cialdini (2001),Professional authority cue that may create epistemic leverage.,1.0,prefilled,1
CUE_036,claim-risk,authority_evoking,\bindustry[- ]leading\b,industry-leading,advertising_substantiation_literature,FTC truth-in-advertising materials,Leadership claim that can imply unsupported superiority.,1.0,prefilled,1
CUE_037,claim-risk,authority_evoking,\bprofessional[- ]grade\b,professional-grade,cialdini_principle,Cialdini (2001),Professional-standard cue used to elevate credibility.,1.0,prefilled,1
CUE_038,claim-risk,authority_evoking,\bapproved by experts\b,approved by experts,advertising_substantiation_literature,FTC truth-in-advertising materials,Authority-approval wording that often requires support not present in-text.,1.0,prefilled,1
CUE_039,claim-risk,authority_evoking,\btrusted by industry leaders\b,trusted by industry leaders,cialdini_principle,Cialdini (2001),Institutional authority phrase implying external endorsement.,1.0,prefilled,1
CUE_040,claim-risk,social_proof,\bloved by thousands\b,loved by thousands,cialdini_principle,Cialdini (2001),Popularity phrase used as a social-proof marker.,1.0,prefilled,1
CUE_041,claim-risk,social_proof,\bused by thousands\b,used by thousands,cialdini_principle,Cialdini (2001),Adoption-count phrasing that boosts perceived credibility.,1.0,prefilled,1
CUE_042,claim-risk,social_proof,\bchosen by millions\b,chosen by millions,cialdini_principle,Cialdini (2001),Mass-adoption claim used as a social-proof proxy.,1.0,prefilled,1
CUE_043,claim-risk,social_proof,\b#1 choice\b,#1 choice,cialdini_principle; advertising_substantiation_literature,Cialdini (2001); FTC truth-in-advertising materials,Ranking-style popularity phrase with strong comparative implication.,1.0,prefilled,1
CUE_044,claim-risk,social_proof,\bmost popular\b,most popular,cialdini_principle,Cialdini (2001),Superlative popularity marker.,1.0,prefilled,1
CUE_045,claim-risk,social_proof,"\btrusted by over \d[\d,]*\b",trusted by over N,cialdini_principle,Cialdini (2001),Numeric social-proof signal that may not be supported in-text.,1.0,prefilled,1
CUE_046,claim-risk,social_proof,\bcustomer favorite\b,customer favorite,advertising_substantiation_literature,FTC truth-in-advertising materials,Collective preference claim serving as a social-proof proxy.,1.0,prefilled,1
CUE_047,claim-risk,social_proof,\btop-rated by users\b,top-rated by users,advertising_substantiation_literature,FTC truth-in-advertising materials,User-rating claim with implied evidence absent from the text.,1.0,prefilled,1
CUE_048,claim-risk,certainty_guarantee,\bguaranteed results\b,guaranteed results,advertising_substantiation_literature,FTC truth-in-advertising materials,Strong outcome-certainty phrase requiring substantiation beyond the text.,1.0,prefilled,1
CUE_049,claim-risk,certainty_guarantee,\bmoney[- ]back guarantee\b,money-back guarantee,advertising_substantiation_literature,FTC truth-in-advertising materials,Guarantee phrase that materially lowers perceived risk and raises claim obligations.,1.0,prefilled,1
CUE_050,claim-risk,certainty_guarantee,\bproven results\b,proven results,advertising_substantiation_literature,FTC truth-in-advertising materials,Evidence-implying certainty claim.,1.0,prefilled,1
CUE_051,claim-risk,certainty_guarantee,\balways works\b,always works,advertising_substantiation_literature,FTC truth-in-advertising materials,Absolute reliability wording with very strong certainty implications.,1.0,prefilled,1
CUE_052,claim-risk,certainty_guarantee,\bnever fails\b,never fails,advertising_substantiation_literature,FTC truth-in-advertising materials,Absolute success phrasing likely to exceed what the text can support.,1.0,prefilled,1
CUE_053,claim-risk,certainty_guarantee,\bsuccess guaranteed\b,success guaranteed,advertising_substantiation_literature,FTC truth-in-advertising materials,Strong outcome guarantee signal.,1.0,prefilled,1
CUE_054,claim-risk,certainty_guarantee,\bguaranteed to work\b,guaranteed to work,advertising_substantiation_literature,FTC truth-in-advertising materials,Performance guarantee phrasing.,1.0,prefilled,1
CUE_055,claim-risk,certainty_guarantee,\binstant results\b,instant results,advertising_substantiation_literature,FTC truth-in-advertising materials,Immediate-outcome wording that signals extreme certainty.,1.0,prefilled,1
CUE_056,claim-risk,superiority_performance,\bbest[- ]in[- ]class\b,best-in-class,advertising_substantiation_literature,FTC truth-in-advertising materials,Category-superiority phrase frequently requiring support.,1.0,prefilled,1
CUE_057,claim-risk,superiority_performance,\bbest on the market\b,best on the market,advertising_substantiation_literature,FTC truth-in-advertising materials,Market-wide superiority claim.,1.0,prefilled,1
CUE_058,claim-risk,superiority_performance,\bultimate solution\b,ultimate solution,advertising_substantiation_literature,FTC truth-in-advertising materials,Maximal superiority framing in product-positioning language.,1.0,prefilled,1
CUE_059,claim-risk,superiority_performance,\bunbeatable performance\b,unbeatable performance,advertising_substantiation_literature,FTC truth-in-advertising materials,Extreme comparative performance claim.,1.0,prefilled,1
CUE_060,claim-risk,superiority_performance,\bfastest way\b,fastest way,advertising_substantiation_literature,FTC truth-in-advertising materials,Comparative speed claim.,1.0,prefilled,1
CUE_061,claim-risk,superiority_performance,\bmost effective\b,most effective,advertising_substantiation_literature,FTC truth-in-advertising materials,Top-performing efficacy claim.,1.0,prefilled,1
CUE_062,claim-risk,superiority_performance,\bsuperior protection\b,superior protection,advertising_substantiation_literature,FTC truth-in-advertising materials,Comparative protection claim used in security-oriented copy.,1.0,prefilled,1
CUE_063,claim-risk,superiority_performance,\btop[- ]performing\b,top-performing,advertising_substantiation_literature,FTC truth-in-advertising materials,Performance-ranking phrase.,1.0,prefilled,1
CUE_064,claim-risk,superiority_performance,\bmarket[- ]leading\b,market-leading,advertising_substantiation_literature,FTC truth-in-advertising materials,Market-comparative leadership claim.,1.0,prefilled,1
CUE_065,protective,transparency_supporting,\blearn more\b,learn more,consumer_information_quality,Information quality / fair communication literature,Low-pressure invitation to seek more information.,1.0,prefilled,1
CUE_066,protective,transparency_supporting,\bsee details\b,see details,consumer_information_quality,Information quality / fair communication literature,Encourages information review rather than immediate commitment.,1.0,prefilled,1
CUE_067,protective,transparency_supporting,\bcompare options\b,compare options,consumer_information_quality,Information quality / fair communication literature,Supports deliberation and comparison.,1.0,prefilled,1
CUE_068,protective,transparency_supporting,\bexplore features\b,explore features,consumer_information_quality,Information quality / fair communication literature,Signals information-seeking rather than forced conversion.,1.0,prefilled,1
CUE_069,protective,transparency_supporting,\breview the details\b,review the details,consumer_information_quality,Information quality / fair communication literature,Encourages checking specifics before acting.,1.0,prefilled,1
CUE_070,protective,transparency_supporting,\bdecide at your pace\b,decide at your pace,consumer_information_quality,Information quality / fair communication literature,Explicitly reduces time pressure.,1.0,prefilled,1
CUE_071,protective,transparency_supporting,\bfind out more\b,find out more,consumer_information_quality,Information quality / fair communication literature,Open-ended information-seeking phrase.,1.0,prefilled,1
CUE_072,protective,transparency_supporting,\bsee pricing details\b,see pricing details,consumer_information_quality,Information quality / fair communication literature,Supports transparent review of commercial terms.,1.0,prefilled,1
